year,date,type,registration,operator,fatalities,location,country,category,damage,season
1964,1964-05-11,Boeing C-135B,61-0332,USAF,80,Angeles City-Cla...,Philippines,Accident,hull-loss,Spring
1964,1964-05-11,Lockheed P-2E Neptune,131481,US Navy,10,near Cadiz,Spain,Accident,hull-loss,Spring
1964,1964-05-11,Fairchild C-119 Flying Boxcar,,USAF,2,"Seale, AL",USA,Accident,hull-loss,Spring
1964,1964-05-13,Antonov An-2R,CCCP-09259,"Aeroflot, Ukraine",1,"Svetilnoye, Bori...",Ukraine,Accident,hull-loss,Spring
1964,1964-05-15,Douglas C-47H,17105,US Navy,1,Antisana Volcano,Ecuador,Accident,hull-loss,Spring
1964,1964-05-20,DHC-3 Otter,PI-C51,Philippine Air Lines,11,Sibuco Point,Philippines,Accident,hull-loss,Spring
1964,1964-05-22,DHC-3 Otter,303,"UN, opb Norwegian AF",0,near Luvungi airstrip,D.R. Congo,Criminal Occurrence,hull-loss,Spring
1964,1964-05-23,Vickers 701 Viscount,G-AMON,Cambrian Airways,0,near Barcelona,Spain,Accident,repairable damage,Spring
1964,1964-05-27,Douglas C-47 (DC-3),PP-SPZ,VASP,3,Morro do SÃ£o Lo...,Brazil,Accident,hull-loss,Spring
1964,1964-05-29,Scottish Aviation Twin Pioneer CC.1,XM942,RAF,0,Long Akah,Malaysia,Accident,hull-loss,Spring
1964,1964-05-29,Douglas DC-4,CP-717,TABSA,0,near Trinidad Airport...,Bolivia,Accident,hull-loss,Spring
1964,1964-05-29,Boeing 707-331,N761TW,TWA,0,Paris-Orly Airpo...,France,Accident,repairable damage,Spring
1964,1964-06-04,Learjet 23,N801L,Lear Jet,0,"Wichita, KS",USA,Accident,hull-loss,Summer
1964,1964-06-06,Douglas SC-47D (DC-3),CP-729,Aerolineas Abaroa,0,La Paz-El Alto A...,Bolivia,Accident,hull-loss,Summer
1964,1964-06-06,Douglas C-47B (DC-3),PP-SPK,VASP,0,BrasÃ­lia Intern...,Brazil,Accident,hull-loss,Summer
1964,1964-06-08,Antonov An-2SX,CCCP-25467,"Aeroflot, Privolzhsk",2,Cheremshan,Russia,Accident,hull-loss,Summer
1964,1964-06-09,Tupolev Tu-104B,CCCP-42476,"Aeroflot, West Siberia",0,Novosibirsk (OVB),Russia,Accident,hull-loss,Summer
1964,1964-06-09,Douglas C-47A (DC-3),ETI-51,Turkish AF,6,near Ãanakkale,Turkey,Accident,hull-loss,Summer
1964,1964-06-11,Vickers Valetta C.1,VW863,RAF,0,Labuan Airport (...,Malaysia,Accident,hull-loss,Summer
1964,1964-06-11,Lockheed RB-69A Neptune,54-4037,Republic of China AF,13,"near Yantai, Shantung...",China,Criminal Occurrence,hull-loss,Summer
1964,1964-06-13,Vickers 757 Viscount,CF-THT,Air Canada,0,Toronto Internat...,Canada,Accident,hull-loss,Summer
1964,1964-06-13,Douglas C-47A (DC-3),HZ-AAN,Saudi Arabian,2,"near Jeddah, Saudi Ar...",Indian Ocean,Accident,hull-loss,Summer
1964,1964-06-20,Curtiss C-46D,B-908,Civil Air Transport,57,San-Chiao,Taiwan,Accident,hull-loss,Summer
1964,1964-06-21,Douglas C-47A (DC-3),EC-AQH,TASSA,1,near Palma de Mallorca,Spain,Accident,hull-loss,Summer
1964,1964-06-24,CV-2B Caribou (DHC-4),62-4196,US Army,7,"near Ridgeway, SC",USA,Accident,hull-loss,Summer
1964,1964-06-25,Fokker F-27 Friendship 200,AP-ALO,PIA,0,Dhaka-Tejgaon Ai...,Bangladesh,Accident,hull-loss,Summer
1964,1964-06-25,Douglas C-47B (DC-3),T-30,Argentine AF,0,Santiago del Est...,Argentina,Accident,hull-loss,Summer
1964,1964-06-25,Bristol 175 Britannia 312,G-AOVJ,BOAC,0,Bermuda-Kindley ...,Bermuda,Accident,repairable damage,Summer
1964,1964-06-26,Douglas C-54A (DC-4),0189/5-T-2,Argentine Navy,0,near RÃ­o Gallegos In...,Argentina,Accident,hull-loss,Summer
1964,1964-06-29,Douglas HC-54D (DC-4),42-72590,USAF,7,near Bermuda,Bermuda,Accident,hull-loss,Summer
1964,1964-06-29,Boeing KC-97G Stratofreighter,52-2773,USAF,10,near Bermuda,Bermuda,Accident,hull-loss,Summer
1964,1964-07-01,DHC-4A Caribou,A4-134,RAAF,0,"Nowra Airport, N...",Australia,Accident,hull-loss,Summer
1964,1964-07-03,Grumman HU-16E Albatross,7233,US Coast Guard,5,"near Ketchikan, AK",USA,Accident,hull-loss,Summer
1964,1964-07-03,Douglas C-47A (DC-3),6875,South African AF,0,Johannesburg-Ran...,South Africa,Other Occurrence,hull-loss,Summer
1964,1964-07-03,Antonov An-2R,CCCP-09242,"Aeroflot, Privolzhsk",1,near Urtazym,Russia,Accident,hull-loss,Summer
1964,1964-07-04,PBV-1A Canso A (PBY-5A),F-ZBAR,SecuritÃ© Civile,0,near DonzÃ¨re,France,Accident,hull-loss,Summer
1964,1964-07-08,Boeing KC-135A,60-0340,USAF,4,"Death Valley, CA",USA,Accident,hull-loss,Summer
1964,1964-07-09,Vickers 745D Viscount,N7405,United Airlines,39,"near Parrottsville, TN",USA,Accident,hull-loss,Summer
1964,1964-07-15,Boeing 720-030B,D-ABOP,Lufthansa,3,near Ansbach,Germany,Accident,hull-loss,Summer
1964,1964-07-16,Douglas DC-7B,N809D,Eastern Air Lines,0,Richmond Airport...,USA,Accident,hull-loss,Summer
1964,1964-07-20,Douglas DC-7B,N831D,Eastern Air Lines,0,Charlotte-Dougla...,USA,Accident,hull-loss,Summer
1964,1964-07-21,Lockheed P-2H Neptune,145922,US Navy,0,Norfolk NAS Cham...,USA,Accident,hull-loss,Summer
1964,1964-07-22,Curtiss C-46,AN-AKY,LANICA,0,near Managua Airport ...,Nicaragua,Accident,hull-loss,Summer
1964,1964-07-23,Fairchild C-123B Provider,56-4383,USAF,0,Gia Vuc,Vietnam,Accident,hull-loss,Summer
1964,1964-07-26,Antonov An-2,DM-SKS,Interflug,2,near Magdeburg,Germany,Accident,hull-loss,Summer
1964,1964-07-27,Curtiss C-46,6340,Republic of China AF,6,near Pingtung,Taiwan,Accident,hull-loss,Summer
1964,1964-07-27,Curtiss C-46,6331,Republic of China AF,6,near Pingtung,Taiwan,Accident,hull-loss,Summer
1964,1964-07-27,Curtiss C-46,6008,Republic of China AF,6,near Pingtung,Taiwan,Accident,hull-loss,Summer
1964,1964-07-30,Fairchild C-119 Flying Boxcar,,Indian AF,4,,India,Accident,hull-loss,Summer
1964,1964-07-30,Douglas DC-7,N464,FAA,0,Washington-Dulle...,USA,Accident,repairable damage,Summer
1964,1964-08-03,Fairchild C-82A Packet,N4829V,M&F,0,Granite Mountain...,USA,Accident,hull-loss,Summer
1964,1964-08-16,Curtiss C-46A,PP-NMF,VASP,1,"near BelÃ©m, PA",Brazil,Accident,hull-loss,Summer
1964,1964-08-19,Douglas C-47 (DC-3),N61350,Hawthorne Nevada,0,"near Tonopah, NV",USA,Accident,hull-loss,Summer
1964,1964-08-20,U-1A Otter (DHC-3),57-6117,US Army,2,Rioja area,Peru,Accident,hull-loss,Summer
1964,1964-08-20,BAC One-Eleven 201AC,G-ASJD,BAC,0,near Tilshead,U.K.,Accident,repairable damage,Summer
1964,1964-08-22,Douglas C-47A (DC-3),CP-680,S.A.Cochabamba,4,near Tipuani,Bolivia,Accident,hull-loss,Summer
1964,1964-08-22,Avia 14T,3148,Czechoslovak AF,10,Hurka,Czech Rep.,Accident,hull-loss,Summer
1964,1964-08-23,Lockheed WC-121N Super Constellation,137891,US Navy,0,near Puerto Rico,Puerto Rico,Accident,hull-loss,Summer
1964,1964-08-25,Vickers Varsity T.1,WF329,RAF,2,near Topcliffe RAF St...,U.K.,Accident,hull-loss,Summer
1964,1964-08-27,Canadair DC-4M2 North Star,CF-TFJ,LEBCA,0,Miami Internatio...,USA,Other Occurrence,hull-loss,Summer
1964,1964-08-27,Canadair DC-4M2 North Star,CF-TFQ,Keegan Aviation,0,Miami Internatio...,USA,Other Occurrence,hull-loss,Summer
1964,1964-08-27,Canadair DC-4M2 North Star,YV-C-LBU,LEBCA,0,Miami Internatio...,USA,Other Occurrence,hull-loss,Summer
1964,1964-08-27,Curtiss C-46F,N4876V,Argonaut Airways,0,Miami Internatio...,USA,Other Occurrence,hull-loss,Summer
1964,1964-08-27,Curtiss C-46A,N9903F,Airlift Int.,0,Miami Internatio...,USA,Other Occurrence,hull-loss,Summer
1964,1964-08-27,Curtiss C-46F,N1823M,Airlift Int.,0,Miami Internatio...,USA,Other Occurrence,hull-loss,Summer
1964,1964-08-27,Douglas C-47B (DC-3),N34963,Boreas,0,Miami-Opa locka ...,USA,Other Occurrence,hull-loss,Summer
1964,1964-09-02,Ilyushin Il-18V,CCCP-75531,"Aeroflot, Krasnoyarsk",87,near Yuzhno-Sakhalins...,Russia,Accident,hull-loss,Fall
1964,1964-09-03,Lockheed L-1649A Starliner,LV-GLI,FAA,0,Phoenix-Deer Val...,USA,Other Occurrence,hull-loss,Fall
1964,1964-09-03,Douglas C-47D,L2-29/02?,Thai AF,28,Vaong Nong,Thailand,Accident,hull-loss,Fall
1964,1964-09-03,Lockheed C-130B Hercules,T-1307,Indonesian AF,55,Karimata Strait,Malaysia,Accident,hull-loss,Fall
1964,1964-09-04,Vickers 701C Viscount,PP-SRR,VASP,39,"near Nova Friburgo, RJ",Brazil,Accident,hull-loss,Fall
1964,1964-09-08,Lockheed SP-2E Neptune,131513,US Navy,5,near Vietnam coast [S...,Pacific Ocean,Accident,hull-loss,Fall
1964,1964-09-11,Scottish Aviation Twin Pioneer CC.1,XP294,RAF,0,Bario Airport (BBN),Malaysia,Accident,hull-loss,Fall
1964,1964-09-13,Fokker F-27 Friendship 200,HB-AAI,Balair,0,MÃ¡laga Airport ...,Spain,Accident,hull-loss,Fall
1964,1964-09-15,Douglas C-47A (DC-3),HK-319,Avianca,2,near Condoto,Colombia,Accident,hull-loss,Fall
1964,1964-09-15,Douglas C-47 (DC-3),FAC-667,SATENA,0,Puerto Rico Airp...,Colombia,Accident,hull-loss,Fall
1964,1964-09-16,Scottish Aviation Twin Pioneer CC.1,XM943,RAF,0,Manawa,Yemen,Accident,hull-loss,Fall
1964,1964-09-17,Antonov An-2S,DM-SKH,Interflug,0,near Hanstedt II,Germany,Hijacking,repairable damage,Fall
1964,1964-09-22,Douglas C-47A (DC-3),N1549V,Caribair,0,San Juan-Isla Ve...,Puerto Rico,Accident,repairable damage,Fall
1964,1964-09-28,Douglas DC-7C,G-ASID,Caledonian Airways,0,Istanbul,Turkey,Accident,hull-loss,Fall
1964,1964-09-29,Douglas C-47 (DC-3),G-AOFZ,BMA,0,Guernsey Airport...,U.K.,Accident,repairable damage,Fall
1964,1964-09-30,Douglas C-47 (DC-3),,Iran AF,1,Shiraz Airport (...,Iran,Accident,hull-loss,Fall
1964,1964-10-02,Douglas DC-6B,F-BHMS,UTA,80,Mt Alcazaba,Spain,Accident,hull-loss,Fall
1964,1964-10-02,Douglas C-54A (DC-4),YK-ADA,Syrian Arab Airlines,0,Damascus Airport,Syria,Accident,hull-loss,Fall
1964,1964-10-02,Lockheed L-749A-79 Constellation,LX-IOK,Interocean,1,Addis Ababa-Bole...,Ethiopia,Accident,hull-loss,Fall
1964,1964-10-02,Steward-Davis Super Catalina (PBY-5A),N4936V,Alaska Coastal-Ellis Airlines,1,"Otter Lake, Chic...",USA,Accident,hull-loss,Fall
1964,1964-10-06,Vickers 951 Vanguard,G-APEE,BEA,0,Glasgow-Renfrew ...,U.K.,Accident,repairable damage,Fall
1964,1964-10-09,Ilyushin Il-14P,YR-ILB,Tarom,31,near Cugir,Romania,Accident,hull-loss,Fall
1964,1964-10-13,Lisunov Li-2,CCCP-04370,"Aeroflot, Polar",0,near Cape Khorgoy,Russia,Accident,hull-loss,Fall
1964,1964-10-14,Douglas C-47A (DC-3),G-AGJV,BMA,0,Derby Airport,U.K.,Accident,repairable damage,Fall
1964,1964-10-15,Fokker F-27 Friendship 100,VT-DOL,Indian Airlines,0,Madras Airport (...,India,Accident,repairable damage,Fall
1964,1964-10-16,Antonov An-12B,T-1202,Indonesian AF,13,near Palembang,Indonesia,Accident,hull-loss,Fall
1964,1964-10-19,Ilyushin Il-18V,CCCP-75668,Soviet AF,33,Mount Avala,Serbia,Accident,hull-loss,Fall
1964,1964-10-22,Fairchild C-119G Flying Boxcar,MM52-6041,Italian AF,0,ChÃ¢teauroux Air...,France,Accident,repairable damage,Fall
1964,1964-10-22,Douglas LC-47H,12407,US Navy,0,Lillie Glacier,Antarctica,Accident,hull-loss,Fall
1964,1964-10-24,Fairchild C-123B Provider,55-4549,USAF,8,near Phumi Dak Dam,Cambodia,Criminal Occurrence,hull-loss,Fall
1964,1964-10-24,Antonov An-2,CCCP-01231,"Aeroflot, Far East",2,near Nikolayevsk-na-A...,Russia,Accident,hull-loss,Fall
1964,1964-10-31,CV-2B Caribou (DHC-4),63-9736,US Army,3,"near Augusta, GA",USA,Accident,hull-loss,Fall
1964,1964-10-31,CV-2B Caribou (DHC-4),63-9749,US Army,3,"near Augusta, GA",USA,Accident,hull-loss,Fall
1964,1964-11-01,Fairchild C-123B Provider,56-4355,USAF,0,near Magong,Taiwan,Accident,hull-loss,Fall
1964,1964-11-05,Boeing KC-97,,USAF,5,near Portsmouth-Pease...,USA,Accident,hull-loss,Fall
1964,1964-11-05,DH-106 Comet 4B,G-APMD,BEA,0,MÃ¡laga Airport ...,Spain,Accident,repairable damage,Fall
1964,1964-11-07,Douglas C-133A Cargomaster,56-2014,USAF,7,near Goose Bay Airpor...,Canada,Accident,hull-loss,Fall
1964,1964-11-07,Fairchild C-82A Packet,N74127,Steward-Davis,2,"near Perote, Vera Cruz",Mexico,Accident,hull-loss,Fall
1964,1964-11-09,Curtiss C-46D,HK-400,Aerocondor de Colombia,0,Barranquilla-Sol...,Colombia,Accident,hull-loss,Fall
1964,1964-11-09,Antonov An-2SX,CCCP-43915,"Aeroflot, Moldova",4,near Gavanoasa,Moldova,Accident,hull-loss,Fall
1964,1964-11-11,Lockheed P2V-6M Neptune,134663,French Navy,10,Heraklion Airpor...,Greece,Accident,hull-loss,Fall
1964,1964-11-12,Lockheed 18 Lodestar,N171Q,Private,4,Freeport-Grand B...,Bahamas,Accident,hull-loss,Fall
1964,1964-11-15,Fairchild F-27A,N745L,Bonanza Air Lines,29,"near Las Vegas, NV",USA,Accident,hull-loss,Fall
1964,1964-11-17,Lockheed P-3A Orion,151362,US Navy,10,"near Argentia-NAS, NL...",Canada,Accident,hull-loss,Fall
1964,1964-11-18,DHC-4A Caribou,A4-185,RAAF,0,A Ro,Vietnam,Accident,hull-loss,Fall
1964,1964-11-18,Antonov An-2V,CCCP-09275,"Aeroflot, Northern",1,near Murmansk Airport...,Russia,Accident,hull-loss,Fall
1964,1964-11-20,Convair CV-440,SE-CCK,Linjeflyg,31,near Helsingborg-Ãng...,Sweden,Accident,hull-loss,Fall
1964,1964-11-20,Curtiss C-46F,N3971B,"Zantop, lsf Aaxico Airlines",0,Detroit-Metropol...,USA,Accident,hull-loss,Fall
1964,1964-11-21,Douglas DC-3A,CF-GOC,Eastern Provincial Airways,0,Lourdes-de-Blanc...,Canada,Accident,hull-loss,Fall
1964,1964-11-23,Boeing 707-331,N769TW,TWA,50,Roma-Fiumicino A...,Italy,Accident,hull-loss,Fall
1964,1964-11-24,Curtiss C-46A,CC-CIB,ALFA,0,Santiago-Los Cer...,Chile,Accident,hull-loss,Fall
1964,1964-11-24,Curtiss C-46R,N9885F,Delta Air Lines,0,"Baton Rouge, LA",USA,Accident,hull-loss,Fall
1964,1964-11-24,Nord 2501D Noratlas,GB+104,German AF,4,near Ahlhorn Air Base,Germany,Accident,hull-loss,Fall
1964,1964-11-26,Douglas C-48B (DC-3),PP-SQP,VASP,0,SÃ£o Paulo-Congo...,Brazil,Other Occurrence,hull-loss,Fall
1964,1964-11-27,Lockheed P-2H Neptune,135610,US Navy,12,"near Cape Newenham, AK",USA,Accident,hull-loss,Fall
1964,1964-11-28,Ilyushin Il-14P,CCCP-41883,"Aeroflot, Georgia",7,near Surami,Georgia,Accident,hull-loss,Fall
1964,1964-11-29,Douglas DC-4,OO-DEP,Air Congo,6,LÃ©opoldville-N'...,D.R. Congo,Accident,hull-loss,Fall
1964,1964-11-30,Curtiss C-46D,51-1107,JASDF,0,Tokyo-Haneda Air...,Japan,Accident,hull-loss,Fall
1964,1964-12-04,Lockheed P-3A Orion,150508,US Navy,13,near Luzon Island-Cub...,Pacific Ocean,Accident,hull-loss,Winter
1964,1964-12-08,Douglas C-47 (DC-3),CP-639,Aerolineas Abaroa,17,near Milluni,Bolivia,Criminal Occurrence,hull-loss,Winter
1964,1964-12-09,Morane Saulnier (FMA) MS.760 Paris I,E-231,Argentine AF,2,"CÃ³rdoba, CD",Argentina,Accident,hull-loss,Winter
1964,1964-12-11,DH-125-1,G-ARYC,Hawker Siddeley,0,Filton Airport (...,U.K.,Accident,repairable damage,Winter
1964,1964-12-19,Fairchild C-82A Packet,N128E,John W. Mecom Oil Co.,2,near Alexandria,Egypt,Criminal Occurrence,hull-loss,Winter
1964,1964-12-19,Boeing KC-97G Stratofreighter,52-907,USAF,5,near Stephenville-Ern...,Canada,Accident,hull-loss,Winter
1964,1964-12-21,Douglas C-47A (DC-3),PI-C569,Fleming,1,Numancia Aklan,Philippines,Accident,hull-loss,Winter
1964,1964-12-24,Lockheed L-1049H Super Constellation,N6915C,Flying Tiger Line,3,near San Francisco In...,USA,Accident,hull-loss,Winter
1964,1964-12-24,Douglas C-47B (DC-3),OB-R-654,SATCO,1,Yurimaguas Airpo...,Peru,Accident,hull-loss,Winter
1964,1964-12-28,DHC-3 Otter,VP-FAJ,British Antarctic Survey,0,Adelaide Base,Antarctica,Accident,hull-loss,Winter
1964,1964-12-28,Fairchild C-123 Provider,,USAF,4,"near Phoenix, AZ",USA,Accident,hull-loss,Winter
1964,1964-12-29,Curtiss C-46,CC-CAN,LASA,6,near Turrialba,Costa Rica,Accident,hull-loss,Winter
1964,1964-12-30,Curtiss C-46A,N608Z,Zantop,4,near Detroit-Metropol...,USA,Accident,hull-loss,Winter
1964,,Lockheed P-2H Neptune,145913,US Navy,0,"Kodiak NAS, AK (...",USA,Accident,hull-loss,
1965,1965-01-02,Lisunov Li-2,CCCP-63842,"Aeroflot, Turkmenistan",24,near Darvaza Airport,Turkmenistan,Accident,hull-loss,Winter
1965,1965-01-04,Boeing KC-135A,61-0265,USAF,4,near Limestone-Loring...,USA,Accident,hull-loss,Winter
1965,1965-01-04,Ilyushin Il-18B,CCCP-75685,"Aeroflot, Kazakstan",64,Alma-Ata Airport...,Kazakhstan,Accident,hull-loss,Winter
1965,1965-01-11,Lockheed C-130B Hercules,58-0719,USAF,0,Topeka-Forbes AF...,USA,Accident,hull-loss,Winter
1965,1965-01-11,Lockheed C-130B Hercules,58-0730,USAF,0,Topeka-Forbes AF...,USA,Other Occurrence,hull-loss,Winter
1965,1965-01-11,Douglas C-133A Cargomaster,54-0140,USAF,6,near Wake Island AFB ...,U.S. M.O. Islands,Accident,hull-loss,Winter
1965,1965-01-11,Douglas LC-47J,50778,US Navy,0,Shackleton Glacier,Antarctica,Accident,hull-loss,Winter
1965,1965-01-14,Lockheed 18 Learstar I,N512V,Burroughs Corp.,2,Detroit-Willow R...,USA,Accident,hull-loss,Winter
1965,1965-01-14,Douglas C-47B (DC-3),CBK-04,Turkish AF,1,Istanbul-YesilkÃ...,Turkey,Accident,hull-loss,Winter
1965,1965-01-16,Boeing KC-135A,57-1442,USAF,29,near Wichita-McConnel...,USA,Accident,hull-loss,Winter
1965,1965-01-16,Fairchild C-82A Packet,N208M,Interior Airways,0,"near Beaver, Yukon Fl...",USA,Accident,hull-loss,Winter
1965,1965-01-21,Douglas C-53 (DC-3),PI-C945,Filipinas Orient Airways,0,San Jose Airport...,Philippines,Accident,hull-loss,Winter
1965,1965-01-22,Douglas C-124C Globemaster II,52-1058,USAF,10,Mount Helmos,Greece,Accident,hull-loss,Winter
1965,1965-01-23,Lockheed SP-2H Neptune,212,Dutch Navy,2,near Katwijk,Netherlands,Accident,hull-loss,Winter
1965,1965-02-03,Curtiss C-46A,F-OAFI,Air Cameroun,4,Garoua Airport (...,Cameroon,Accident,hull-loss,Winter
1965,1965-02-05,Antonov An-2,CCCP-07914,Krasnokutske Flight School,8,near Goretskoye Airstrip,Russia,Accident,hull-loss,Winter
1965,1965-02-06,Douglas DC-6B,CC-CCG,LAN Chile,87,near San JosÃ© Volcano,Chile,Accident,hull-loss,Winter
1965,1965-02-08,Douglas DC-7B,N849D,Eastern Air Lines,84,"near Jones Beach, NY",USA,Accident,hull-loss,Winter
1965,1965-02-08,Douglas DC-7C,SE-CCC,SAS,0,Tenerife-Los Rod...,Spain,Accident,hull-loss,Winter
1965,1965-02-08,Vickers 635 Viking 1B,F-BJEQ,Airnautic,0,Calvi Airport (CLY),France,Accident,hull-loss,Winter
1965,1965-02-12,Grumman G-73 Mallard,N2940,Jack Adams Aircraft Sales,0,"Lake Hefner, OK",USA,Accident,repairable damage,Winter
1965,1965-02-13,Curtiss C-46A,YS-012C,AESA,2,"Miami, FL",USA,Accident,hull-loss,Winter
1965,1965-02-14,Douglas DC-3 (R4D-1),JA5080,All Nippon,2,Mount Nakanoone,Japan,Accident,hull-loss,Winter
1965,1965-02-15,Vickers 782D Viscount,EP-AHC,Iran Air,0,Isfahan Airport ...,Iran,Accident,hull-loss,Winter
1965,1965-02-17,Douglas Dakota IV (DC-3),G-ANTD,BMA,0,Leeds/Bradford A...,U.K.,Accident,repairable damage,Winter
1965,1965-02-20,Douglas C-47A (DC-3),YU-ACB,JAT,5,near Belgrade,Serbia,Accident,hull-loss,Winter
1965,1965-02-25,Ilyushin Il-62,CCCP-06156,Ilyushin,10,Moskva-Zhukovsky...,Russia,Accident,hull-loss,Winter
1965,1965-02-26,Boeing KC-135A,63-8882,USAF,4,"near Cape Race, NL, C...",Atlantic Ocean,Accident,hull-loss,Winter
1965,1965-02-27,Convair CV-880,JA8023,JAL,0,Iki Airport (IKI),Japan,Accident,hull-loss,Winter
1965,1965-03-03,Vickers 701C Viscount,PP-SRQ,VASP,0,Rio de Janeiro-G...,Brazil,Accident,hull-loss,Spring
1965,1965-03-03,Douglas Dakota 4 (DC-3),G-AMHJ,Morton Air Services,0,ZÃ¼rich-Kloten A...,Switzerland,Accident,repairable damage,Spring
1965,1965-03-04,Vickers Varsity T.1,WL680,RAF,0,near Louth,U.K.,Accident,hull-loss,Spring
1965,1965-03-05,Lockheed 18 Lodestar,N600N,Pine Paper Products Co.,2,Philipsburg-Mid-...,USA,Accident,hull-loss,Spring
1965,1965-03-05,Lockheed 18 Learstar I,N300N,Fruehauf,2,Miami Internatio...,USA,Accident,hull-loss,Spring
1965,1965-03-05,Grumman HU-16B Albatross,1264,Thai Navy,11,Luang Sun Mounta...,Taiwan,Accident,hull-loss,Spring
1965,1965-03-06,DHC-4A Caribou,A4-202,RAAF,0,Porgera Airport ...,P.N. Guinea,Accident,hull-loss,Spring
1965,1965-03-07,Vickers 802 Viscount,G-AOHT,BEA,0,London-Heathrow ...,U.K.,Accident,repairable damage,Spring
1965,1965-03-08,Douglas DC-3A,PI-C948,Filipinas Orient Airways,10,Mt Tangcong Vaca,Philippines,Accident,hull-loss,Spring
1965,1965-03-08,Tupolev Tu-124V,CCCP-45028,"Aeroflot, Privolzhsk",30,near Kuybyshev Airpor...,Russia,Accident,hull-loss,Spring
1965,1965-03-08,Ilyushin Il-18B,CCCP-75690,"Aeroflot, Kyrgyzstan",0,Frunze Airport (...,Kyrgyzstan,Accident,repairable damage,Spring
1965,1965-03-11,Douglas C-47 (DC-3),HK-153,Avianca,0,Bucaramanga-Gome...,Colombia,Accident,hull-loss,Spring
1965,1965-03-16,Douglas C-47A (DC-3),CF-PQG,Canadian DoT,0,Lourdes-de-Blanc...,Canada,Accident,hull-loss,Spring
1965,1965-03-17,Fokker F-27 Friendship 200,VH-FNH,Ansett-ANA,0,Launceston Airpo...,Australia,Accident,hull-loss,Spring
1965,1965-03-17,Handley Page HPR-7 Herald 202,CF-NAF,Eastern Provincial Airways,8,Upper Musquodobo...,Canada,Accident,hull-loss,Spring
1965,1965-03-18,Curtiss C-46F,OB-R-577,SATCO,9,Cerro Saguancancha,Peru,Accident,hull-loss,Spring
1965,1965-03-18,Douglas C-47A (DC-3),N4997E,Miami Aviation,2,"near Waterville, NL",Canada,Accident,hull-loss,Spring
1965,1965-03-19,Vickers 773 Viscount,YI-ACU,Iraqi Airways,0,Cairo Internatio...,Egypt,Accident,hull-loss,Spring
1965,1965-03-20,Antonov An-24,CCCP-46764,"Aeroflot, Uralsk",43,Khanty-Mansiysk ...,Russia,Accident,hull-loss,Spring
1965,1965-03-21,Hawker Siddeley HS-748,G-ATAM,BKS Air Transport,0,Leeds/Bradford A...,U.K.,Accident,repairable damage,Spring
1965,1965-03-22,Douglas C-47 (DC-3),HK-109,Avianca,29,Pan de Azucar Peak,Colombia,Accident,hull-loss,Spring
1965,1965-03-23,Canadair CP-107 Argus Mk.2,20727,RCAF,16,near Puerto Rico,Atlantic Ocean,Accident,hull-loss,Spring
1965,1965-03-24,Curtiss C-46D,PP-BTP,Paraense Transportes AÃ©reos,0,Rio Branco Airpo...,Brazil,Accident,hull-loss,Spring
1965,1965-03-24,Douglas C-124C Globemaster II,52-1075,USAF,6,"near Cordova, MD",USA,Accident,hull-loss,Spring
1965,1965-03-25,T-39A Sabreliner,62-4458,USAF,2,near Angeles City-Cla...,Philippines,Accident,hull-loss,Spring
1965,1965-03-25,Lockheed C-130E Hercules,63-7797,USAF,7,AlenÃ§on,France,Accident,hull-loss,Spring
1965,1965-03-25,Douglas C-47 (DC-3),,USAF,5,near Angeles City-Cla...,Philippines,Accident,hull-loss,Spring
1965,1965-03-25,Hawker Siddeley HS-748,G-ASPL,BKS Air Transport,0,Leeds/Bradford A...,U.K.,Accident,repairable damage,Spring
1965,1965-03-25,Douglas Dakota 4 (DC-3),G-AMSH,BKS Air Transport,0,near Leeds/Bradford A...,U.K.,Accident,repairable damage,Spring
1965,1965-03-26,Douglas C-47B (DC-3),VR-AAA,Aden Airways,0,Hadibo,Yemen,Accident,hull-loss,Spring
1965,1965-03-26,Douglas C-47A (DC-3),AP-AAH,PIA,22,near Lowery Pass,Pakistan,Accident,hull-loss,Spring
1965,1965-03-27,Lockheed L-188C Electra,ZK-TEC,TEAL,0,Whenuapai Airport,New Zealand,Accident,hull-loss,Spring
1965,1965-03-28,Fairchild C-123B Provider,57-6292,USAF,0,Da Nang Air Base...,Vietnam,Accident,hull-loss,Spring
1965,1965-03-31,Convair CV-440-62,EC-ATH,Iberia,50,near Tangier Airport ...,Morocco,Accident,hull-loss,Spring
1965,1965-04-01,Douglas C-47 (DC-3),VH-ANJ,Victorian Air Coach Services,0,Warrnambool Airp...,Australia,Accident,repairable damage,Spring
1965,1965-04-05,DHC-3 Otter,IM-1727,Indian AF,4,near Tezpur,India,Accident,hull-loss,Spring
1965,1965-04-06,Douglas C-47 (DC-3),N150A,private,0,near Andros Island,Bahamas,Accident,hull-loss,Spring
1965,1965-04-10,Handley Page HPR-7 Herald 207,JY-ACQ,Alia,54,near Damascus,Syria,Accident,hull-loss,Spring
1965,1965-04-10,Consolidated PBY-6A Catalina,N6455C,Liston Aircraft,2,"near Klamath Falls, OR",USA,Accident,hull-loss,Spring
1965,1965-04-14,Douglas C-47B (DC-3),G-ANTB,BUA,26,near Jersey-States Ai...,U.K.,Accident,hull-loss,Spring
1965,1965-04-14,Douglas C-47 (DC-3),HJ218,Indian AF,9,Nagaland,India,Accident,hull-loss,Spring
