year,date,type,registration,operator,fatalities,location,country,category,damage,season
1979,1979-05-10,Ilyushin Il-18D,CCCP-75414,"Aeroflot, Uralsk",0,Adler/Sochi Airp...,Russia,Accident,hull-loss,Spring
1979,1979-05-10,Antonov An-2R,CCCP-06330,"Aeroflot, Ukraine",0,near Svidovets,Ukraine,Accident,hull-loss,Spring
1979,1979-05-15,Douglas C-54S (DC-4),N44905,Biegert Aviation,0,Mesa-Falcon Fiel...,USA,Accident,hull-loss,Spring
1979,1979-05-15,Lockheed L-100-20 Hercules,D2-FAF,TAAG,0,SÃ£o TomÃ© Islan...,Sao Tome,Accident,hull-loss,Spring
1979,1979-05-15,BN-2A Trislander Mk.III-1,G-BCYC,Loganair,0,Aberdeen,U.K.,Unknown,hull-loss,Spring
1979,1979-05-17,Douglas DC-4,,Bush Aviation,0,Gulf of Mexico,Mexico,Accident,hull-loss,Spring
1979,1979-05-19,Tupolev Tu-134A,CCCP-65839,"Aeroflot, Moldova",0,Ufa Airport (UFA),Russia,Accident,hull-loss,Spring
1979,1979-05-22,Boeing 737-2A8,VT-EDS,Indian Airlines,0,Nagpur Airport (...,India,Accident,repairable damage,Spring
1979,1979-05-25,Vickers 806 Viscount,G-AOYS,British Airways,0,Cardiff-Wales Ai...,U.K.,Accident,repairable damage,Spring
1979,1979-05-25,DHC-4A Caribou,N581PA,Sea Airmotive,3,Bullen Point Air...,USA,Accident,hull-loss,Spring
1979,1979-05-25,DC-10-10,N110AA,American Airlines,273,Chicago-O'Hare I...,USA,Accident,hull-loss,Spring
1979,1979-05-26,Howard 350,N1514S,Inter Island Shipping,2,near Fort Lauderdale ...,USA,Accident,hull-loss,Spring
1979,1979-05-26,Boeing 727-1F8,9N-ABD,Royal Nepal Airlines,0,Patna Airport (PAT),India,Accident,repairable damage,Spring
1979,1979-05-27,DHC-5D Buffalo,5T-MAX,Mauritanian AF,12,near Dakar,Senegal,Accident,hull-loss,Spring
1979,1979-05-30,DHC-6 Twin Otter 200,N68DE,Downeast Airlines,17,near Rockland-Knox Co...,USA,Accident,hull-loss,Spring
1979,1979-05-31,Tupolev Tu-134A,CCCP-65649,"Aeroflot, Tyumen",0,Tyumen Airport (...,Russia,Accident,hull-loss,Spring
1979,1979-06-01,A.W. AW-660 Argosy C.1,9Q-COE,OTRAG Range Air Services,0,Lubumbashi-Luano...,D.R. Congo,Accident,hull-loss,Summer
1979,1979-06-01,Douglas C-54A (DC-4),C-FQIX,Aero Trades (Western),0,Thompson Airport...,Canada,Accident,hull-loss,Summer
1979,1979-06-06,Douglas DC-6BF,AN-BFN,Unknown,0,"Charleston, WV",USA,Accident,hull-loss,Summer
1979,1979-06-07,HAL-748,H-2178,Indian AF,28,near Leh,India,Accident,hull-loss,Summer
1979,1979-06-08,DC-9-31,,TAA,0,Brisbane-Eagle F...,Australia,Hijacking,repairable damage,Summer
1979,1979-06-09,Beech 99,N454SA,Skystream Airlines,2,near Chicago-Merrill ...,USA,Accident,hull-loss,Summer
1979,1979-06-11,Douglas C-47A (DC-3),N148Z,U.S. Forest Service,10,"near Elk City, ID",USA,Accident,hull-loss,Summer
1979,1979-06-11,Lockheed L-1011 TriStar,,Delta Air Lines,0,Havana,Cuba,Hijacking,repairable damage,Summer
1979,1979-06-11,Carstedt Jet Liner 600F,N906MW,"Midwest Air Charter, opf Airborne Express",0,Saint Louis-Lamb...,USA,Accident,hull-loss,Summer
1979,1979-06-12,Douglas DC-3D,N427W,Bradley Aviation,2,Fort Lauderdale-...,USA,Accident,hull-loss,Summer
1979,1979-06-14,BN-2A-6 Islander,PT-IJE,VOTEC,4,near Aldeia IndÃ­gena...,Brazil,Accident,hull-loss,Summer
1979,1979-06-16,Antonov An-2T,CCCP-44920,"Aeroflot, Far East",0,Petropavlovsk-Ka...,Russia,Accident,hull-loss,Summer
1979,1979-06-17,DHC-6 Twin Otter 300,N383EX,Air New England,1,near Hyannis-Barnstab...,USA,Accident,hull-loss,Summer
1979,1979-06-18,Hawker Siddeley VC-93 (HS-125-3B/RC),2122,Brazilian AF,0,Brasilia Interna...,Brazil,Accident,hull-loss,Summer
1979,1979-06-19,Lockheed C-130E Hercules,5-8520,Iran AF,5,near Shiraz,Iran,Accident,hull-loss,Summer
1979,1979-06-20,Boeing 727,,American Airlines,0,"Chicago, New Yor...",Ireland,Hijacking,repairable damage,Summer
1979,1979-06-21,HAL-748,VT-DXO,Indian Airlines,0,Mangalore Airpor...,India,Accident,repairable damage,Summer
1979,1979-06-21,Lockheed L-749 Constellation (VC-121B),C-GXKS,Beaver Air Spray,0,RiviÃ¨re-du-Loup...,Canada,Accident,hull-loss,Summer
1979,1979-06-22,Douglas DC-7CF,N357AL,Go Transportation,1,near Daggett-Barstow-...,USA,Accident,hull-loss,Summer
1979,1979-06-23,Boeing 727-76,AN-BSQ,LANICA,0,San JosÃ©-Juan S...,Costa Rica,Hijacking,repairable damage,Summer
1979,1979-06-26,Lockheed P-3B Orion,154596,US Navy,5,near Luzon Island-Cub...,Philippines,Accident,hull-loss,Summer
1979,1979-06-28,Consolidated PBY-6A Catalina,N101CS,private,1,near Alverca,Portugal,Accident,hull-loss,Summer
1979,1979-06-30,Lockheed L-1011 TriStar,,Eastern Air Lines,0,Miami Internatio...,USA,Hijacking,repairable damage,Summer
1979,1979-06-30,Tupolev Tu-154B,P-551,Chosonminhang,0,Budapest-Feriheg...,Hungary,Accident,repairable damage,Summer
1979,1979-06-30,Airbus A300B2-101,VT-EDV,Indian Airlines,0,Calcutta Airport...,India,Accident,repairable damage,Summer
1979,1979-07-05,Fairchild F-27A,F-GBRS,TAT,0,Paris-Orly Airpo...,France,Other Occurrence,hull-loss,Summer
1979,1979-07-06,Learjet 25B,N40BC,Chapman Commodities,2,Pueblo Memorial ...,USA,Accident,hull-loss,Summer
1979,1979-07-07,Howard 500,N721N,Aggadir,0,near Aruba [Caribbean...,Atlantic Ocean,Accident,hull-loss,Summer
1979,1979-07-08,Fairchild C-119L Flying Boxcar,N1040E,Unknown,4,"Casa Grande, AZ",USA,Accident,hull-loss,Summer
1979,1979-07-09,Fairchild F-27,HC-BGI ?,Aerolineas Condor,0,Quito,Ecuador,Hijacking,repairable damage,Summer
1979,1979-07-11,Fokker F-28 Fellowship 1000,PK-GVE,Garuda,61,Mount Sibayak,Indonesia,Accident,hull-loss,Summer
1979,1979-07-12,BN-2A-9 Islander,DQ-FBO,Fiji Air,9,near Bua,Fiji,Accident,hull-loss,Summer
1979,1979-07-12,BN-2A Islander,D2-FMW,CTA,0,near Cela,Angola,Accident,hull-loss,Summer
1979,1979-07-13,Douglas DC-3-313,N21782,M.J. Supply,0,"near Belle Glade, FL",USA,Accident,hull-loss,Summer
1979,1979-07-15,Hawker Siddeley HS-748,C-GPAA,Austin Airways,0,Moosonee Airport...,Canada,Accident,hull-loss,Summer
1979,1979-07-20,Douglas DC-6A,N43865,Kimex Inc,2,near Kingston-Norman ...,Jamaica,Accident,hull-loss,Summer
1979,1979-07-20,SE-210 Caravelle VI-R,HK-1778,Aerotal Colombia,0,BogotÃ¡-Eldorado...,Colombia,Accident,hull-loss,Summer
1979,1979-07-20,Douglas C-47B (DC-3),N63250,Trans National Airlines,2,"near Honolulu, HI, USA",Pacific Ocean,Accident,hull-loss,Summer
1979,1979-07-20,Boeing 727,,United Airlines,0,Omaha-Eppley Air...,USA,Hijacking,repairable damage,Summer
1979,1979-07-21,Boeing B-17G,N66573,Black Hills Aviation,2,"near Superior, MT",USA,Accident,hull-loss,Summer
1979,1979-07-23,Boeing 707-327C,OD-AFX,TMA,6,Beirut Internati...,Lebanon,Accident,hull-loss,Summer
1979,1979-07-23,GAF Nomad N.22B,PK-MAJ,MAF,1,within West Irian,Indonesia,Accident,hull-loss,Summer
1979,1979-07-23,IAI Arava 201,GN7953,Venezuela ANG,3,near Matthew's Ridge ...,Guyana,Accident,hull-loss,Summer
1979,1979-07-24,Lockheed 18 Lodestar,N33LM,Wiregrass Aviation,0,Brunswick-Glynco...,USA,Accident,hull-loss,Summer
1979,1979-07-24,DH-114 Heron 2D,N575PR,Prinair,8,Saint Croix-Alex...,U.S. Virgin Isl.,Accident,hull-loss,Summer
1979,1979-07-25,Fokker F-27 Friendship,,Biman Bangladesh,0,Calcutta,India,Hijacking,repairable damage,Summer
1979,1979-07-26,Boeing 707-330C,D-ABUY,Lufthansa Cargo,3,near Rio de Janeiro-G...,Brazil,Accident,hull-loss,Summer
1979,1979-07-27,DHC-6 Twin Otter 100,TF-JME,FlugfÃ©lag Nordurlands,0,Daneborg,Greenland,Other Occurrence,hull-loss,Summer
1979,1979-07-31,Avro 748-105 Srs. 1,G-BEKF,Dan-Air Services,17,Sumburgh Airport...,U.K.,Accident,hull-loss,Summer
1979,,Douglas DC-6BF,N19CA,New World Air Charter,0,Larnaca Airport ...,Cyprus,Unknown,hull-loss,
1979,1979-08-02,Cessna 501 Citation I/SP,N15NY,private,1,Akron/Canton Reg...,USA,Accident,hull-loss,Summer
1979,1979-08-03,Let L-410M,CCCP-67206,"Aeroflot, Central Region",10,near Leningrad-Rzhevk...,Russia,Accident,hull-loss,Summer
1979,1979-08-04,HAL-748,VT-DXJ,Indian Airlines,45,near Panvel,India,Accident,hull-loss,Summer
1979,1979-08-04,Curtiss C-46A,N8040Y,Aircraft Line Maintenance,5,Cerro Tupungato,Chile,Accident,hull-loss,Summer
1979,1979-08-05,DC-9-32,EC-BIT,Iberia,0,"Fuerteventura, L...",Switzerland,Hijacking,repairable damage,Summer
1979,1979-08-07,BN-2A Islander,G-AXWG,Harvest Air,0,,Greenland,Accident,hull-loss,Summer
1979,1979-08-09,Antonov An-8,CCCP-69314,MOM Omsk,2,Moskva-Domodedov...,Russia,Accident,hull-loss,Summer
1979,1979-08-09,BN-2A-21 Defender,OA-2,Botswana AF,2,near Gaborone,Botswana,Criminal Occurrence,hull-loss,Summer
1979,1979-08-11,Learjet 35,N711AF,Bahri Aviation,5,near Katab,Egypt,Accident,hull-loss,Summer
1979,1979-08-11,Tupolev Tu-134A,CCCP-65816,"Aeroflot, Moldova",94,near Kurilovka,Ukraine,Accident,hull-loss,Summer
1979,1979-08-11,Tupolev Tu-134A,CCCP-65735,"Aeroflot, Belarus",84,near Kurilovka,Ukraine,Accident,hull-loss,Summer
1979,1979-08-16,Boeing 727,,Eastern Air Lines,0,Miami Internatio...,USA,Hijacking,repairable damage,Summer
1979,1979-08-19,Boeing 707-123B,5B-DAM,Cyprus Airways,0,Bahrain Internat...,Bahrain,Accident,hull-loss,Summer
1979,1979-08-22,Boeing 727,,United Airlines,0,"San Francisco, P...",USA,Hijacking,repairable damage,Summer
1979,1979-08-22,Hawker Siddeley HS-748,FAC-1101,SATENA,4,BogotÃ¡-Eldorado...,Colombia,Criminal Occurrence,hull-loss,Summer
1979,1979-08-23,Learjet 24D,PT-DZU,LÃ­der TÃ¡xi AÃ©reo,0,SÃ£o Paulo-Virac...,Brazil,Accident,hull-loss,Summer
1979,1979-08-24,Boeing 727,,Libyan Arab Airlines,0,Larnaca,Cyprus,Hijacking,repairable damage,Summer
1979,1979-08-24,Antonov An-12TB,CCCP-12963,"Aeroflot, Krasnoyarsk",11,near Yeniseisk,Russia,Accident,hull-loss,Summer
1979,1979-08-26,Convair CV-440,N14478,Cornerstone Construction ?,0,San Juan-Isla Ve...,Puerto Rico,Accident,hull-loss,Summer
1979,1979-08-28,Fairchild C-119L Flying Boxcar,3194,Republic of China AF,20,Daxue Mountain,Taiwan,Accident,hull-loss,Summer
1979,1979-08-29,DHC-6 Twin Otter 300,C-GROW,Bradley Air Services,9,near Frobisher Bay Ai...,Canada,Accident,hull-loss,Summer
1979,1979-08-29,Tupolev Tu-124V,CCCP-45038,"Aeroflot, Privolzhsk",63,near Kirsanov,Russia,Accident,hull-loss,Summer
1979,1979-08-30,BN-2A-8 Islander,F-OGGL,Air Martinique,0,Fort de France-L...,Martinique,Other Occurrence,hull-loss,Summer
1979,1979-08-31,Curtiss C-46A,HI-189,private,0,Santo Domingo-La...,Dominican Rep.,Other Occurrence,hull-loss,Summer
1979,1979-08-31,Lockheed L-049 Constellation,HI-260,Aerovias Quisqueyana,0,Santo Domingo-La...,Dominican Rep.,Other Occurrence,hull-loss,Summer
1979,1979-08-31,Douglas DC-3-208A,HI-237,Alas del Caribe,0,Santo Domingo-La...,Dominican Rep.,Other Occurrence,hull-loss,Summer
1979,1979-08-31,Scottish Aviation Twin Pioneer 1,N9965F,Air North,0,Pilot Point Airp...,USA,Accident,hull-loss,Summer
1979,1979-09-01,Antonov An-26,RDPL-34037,Lao Aviation,0,Ban Mai,Thailand,Accident,repairable damage,Fall
1979,1979-09-03,Antonov An-24B,CCCP-46269,"Aeroflot, Arkhangelsk",40,near Amderma Airport ...,Russia,Accident,hull-loss,Fall
1979,1979-09-03,AÃ©rospatiale SN.601 Corvette,OY-SBS,Sterling Airways,10,near Nice-CÃ´te d'Azu...,France,Accident,hull-loss,Fall
1979,1979-09-04,DHC-3 Otter,C-FFSU,Labrador Airways,5,"Squaw Lake, QC",Canada,Accident,repairable damage,Fall
1979,1979-09-07,DC-8-62H,I-DIWW,Alitalia,0,"Rome, Tehran",Iran,Hijacking,repairable damage,Fall
1979,1979-09-09,BN-2A-8 Islander,B-11107,Taiwan Airlines,0,Orchid Island Ai...,Taiwan,Accident,hull-loss,Fall
1979,1979-09-11,Boeing 707-324C,B-1834,China Airlines,6,near Taipei-Chiang Ka...,Taiwan,Accident,hull-loss,Fall
1979,1979-09-12,Curtiss C-46A,N7768B,Rich,0,near South Caicos Int...,Turks & Caicos,Accident,hull-loss,Fall
1979,1979-09-12,Boeing 727-230,D-ABFI,Lufthansa,0,KÃ¶ln/Bonn Airpo...,Germany,Hijacking,repairable damage,Fall
1979,1979-09-13,Douglas DC-3C,N37906,Southern Flyer Inc,0,Hattiesburg-Bobb...,USA,Other Occurrence,hull-loss,Fall
1979,1979-09-14,Douglas DC-7,N4SW,Butler Aircraft Comp.,12,"near Klamath Falls, OR",USA,Accident,hull-loss,Fall
1979,1979-09-14,DC-9-32,I-ATJC,ATI,31,near Sarroch,Italy,Accident,hull-loss,Fall
1979,1979-09-17,DC-9-32,CF-TLU,Air Canada,0,"near Boston, MA",USA,Accident,repairable damage,Fall
1979,1979-09-18,Lockheed C-141B Starlifter,64-0647,USAF,0,"Charleston AFB, ...",USA,Accident,hull-loss,Fall
1979,1979-09-18,BN-2A-7 Islander,C-FZVV,Pacific Coastal,4,Blink Horn Point...,Canada,Accident,hull-loss,Fall
1979,1979-09-19,Boeing KC-135A,58-0127,USAF,5,Merced-Castle AF...,USA,Accident,hull-loss,Fall
1979,1979-09-21,Douglas C-47A (DC-3),ET-AGU,Ethiopian Airlines,0,Barentu,Eritrea,Accident,repairable damage,Fall
1979,1979-09-25,Beech 200 Super King Air,G-BGHR,Eagle Aircraft Services,2,near Nantes,France,Accident,hull-loss,Fall
1979,1979-09-28,Curtiss C-46A,N10624,Miami Air Lease,0,near San Andros,Bahamas,Accident,hull-loss,Fall
1979,1979-09-28,Lockheed C-130H Hercules,CP-1375,TAB,4,near Panama City-Tocu...,Panama,Accident,hull-loss,Fall
1979,1979-09-30,DHC-6 Twin Otter 200,C-FWAF,West Coast Air,2,"Porpoise Bay, BC",Canada,Accident,hull-loss,Fall
1979,1979-10-07,DC-8-62,HB-IDE,Swissair,14,Athens-Ellinikon...,Greece,Accident,hull-loss,Fall
1979,1979-10-10,Canadair CC-106 Yukon (CL-44),CX-BKD,ALAS,0,Montevideo-Carra...,Uruguay,Accident,hull-loss,Fall
1979,1979-10-16,Fokker F-27 Friendship 600,5A-DDU,Libyan Arab Airlines,0,Malta-Luqa Airpo...,Malta,Hijacking,repairable damage,Fall
1979,1979-10-18,Douglas C-47 (DC-3),TG-AXA,Aviateca,0,Carmelita Airpor...,Guatemala,Accident,hull-loss,Fall
1979,1979-10-19,Antonov An-30B,84,Soviet AF,0,Iturup Island,Russia,Other Occurrence,hull-loss,Fall
1979,1979-10-25,Vickers 735 Viscount,G-BFYZ,Alidair,0,Kirkwall Airport...,U.K.,Accident,hull-loss,Fall
1979,1979-10-27,Antonov An-2TP,CCCP-32322,"Aeroflot, Yakutsk",3,Lensk,Russia,Accident,hull-loss,Fall
1979,1979-10-27,Beech 200 Super King Air,XC-PGR,Mexican Government,10,"near San Ysidro, CA",USA,Accident,hull-loss,Fall
1979,1979-10-30,Boeing 727,,PSA,0,Tijuana,Mexico,Hijacking,repairable damage,Fall
1979,1979-10-30,Ilyushin Il-14M,CCCP-61683,"Aeroflot, Moscow SPiMVL",0,near,Denmark,Other Occurrence,hull-loss,Fall
1979,1979-10-30,Douglas C-47B (DC-3),N99663,Frontier Flying Service,2,"Bettles Airport,...",USA,Accident,hull-loss,Fall
1979,1979-10-31,DC-10-10,N903WA,Western Air Lines,73,Mexico City-Juar...,Mexico,Accident,hull-loss,Fall
1979,1979-10-31,Douglas DC-6,,Mexican AF,3,near Cozumel Air Base...,Mexico,Accident,hull-loss,Fall
1979,1979-10-31,Yakovlev Yak-40K,CCCP-87948,"Aeroflot, North Kavkaz",0,near Tikhoretsk,Russia,Accident,hull-loss,Fall
1979,1979-11-01,DHC-6 Twin Otter 300,C-GTJA,Austin Airways,3,"Big Trout Lake, ON",Canada,Accident,hull-loss,Fall
1979,1979-11-05,BN-2A Islander,P2-ATU,Douglas Airways,3,Huabango,P.N. Guinea,Accident,hull-loss,Fall
1979,1979-11-05,DHC-6 Twin Otter 300,N23BC,SPIA,0,Tau Airport (TAV),American Samoa,Accident,hull-loss,Fall
1979,1979-11-10,Douglas C-47B (DC-3),ST-AHH,National Agriculture Org.,0,near Kadugli Airport,Sudan,Accident,hull-loss,Fall
